"Plant_ID" "Year" "Electricity_kWh" "S02_short_tons" "NOx_short_tons" "Capital_Stock_USD1973_millions" "Employees_People" "Heat_content_of_coal_billions_btu" "Heat_content_of_oil_billions_btu" "Heat_content_of_gas_billions_btu" "Heat_content_of_gas_Mwh_daily" "Heat_content_of_oil_Mwh_daily" "Heat_content_of_coal_Mwh_daily" "S02_short_tons_daily" "NOx_short_tons_daily" "Capital_Stock_USD2017_millions" "Clean_Air_Act_PhaseI"
"1" 3 85 8505.038 47579.87 25909.18 343.569045 430 82989.4716 60.330837 1016.7583 0.81702023242587 0.0484790873781776 66.6865245904874 130.355808219178 70.9840547945205 1951.4721756 "0"
"2" 8 85 7052.24 74147.13 23087.63 323.83119 511 70976.603 182.1277248 0 0 0.1463494677617 57.0335355805394 203.142821917808 63.2537808219178 1839.3611592 "0"
"3" 470 85 3512.995 13584.68 16187.56 167.279114 114 36074.0578 56.354949 10.6371 0.00854748460311288 0.0452842465415114 28.9874546274176 37.218301369863 44.3494794520548 950.14536752 "0"
"4" 602 85 2599.547 13880.34 7878.81 221.304215 120 25931.358 282.432087 0 0 0.226949442522637 20.8372472988698 38.0283287671233 21.5857808219178 1257.0079412 "0"
"5" 641 85 4424.84 99670.58 19510.88 256.246985 221 45106.1524 73.6512 473.3 0.380322123760548 0.0591827187862093 36.2452306685716 273.070082191781 53.4544657534247 1455.4828748 "0"
"6" 708 85 4869.227 62101.2 22580.14 180.224048 309 51201.9356 68.8884 0 0 0.0553555516384241 41.1435218424737 170.140273972603 61.863397260274 1023.67259264 "0"
"7" 709 85 11243.293 97124 45296.83 297.707598 469 103124.6672 50.2068 0 0 0.0403438766178345 82.8662422176288 266.093150684932 124.100904109589 1690.97915664 "0"
"8" 728 85 6697.031 126444.62 22005.12 286.073927 454 67263.1772 88.1538 0 0 0.0708363415034071 54.0495973031609 346.423616438356 60.288 1624.89990536 "0"
"9" 856 85 2990.25 19432.06 12517.68 185.343067 151 29749.9878 33.9769542 0 0 0.0273023185722773 23.905722674723 53.2385205479452 34.2950136986301 1052.74862056 "0"
"10" 861 85 3815.905 137059.1 32399.49 220.434247 302 41129.2974 46.9625352 0 0 0.0377369345540746 33.0496127951557 375.504383561644 88.7657260273973 1252.06652296 "0"
"11" 862 85 461.6802 11533.93 2438.26 87.672558 104 5135.544 20.232009 0 0 0.0162575124251479 4.1266870922158 31.5998082191781 6.68016438356164 497.98012944 "0"
"12" 863 85 841.6711 20253.06 4414.87 66.862194 93 8845.8496 18.9386568 0 0 0.015218234048908 7.10811812030085 55.4878356164384 12.0955342465753 379.77726192 "0"
"13" 864 85 1361.6064 31799.51 4816.93 132.142948 147 14090.0902 128.738715 0 0 0.103448513625616 11.3221488038066 87.1219452054794 13.1970684931507 750.57194464 "0"
"14" 876 85 4916.216 169540.06 44618.21 265.682138 341 55634.1464 0 85.0692 0.0683576987335956 0 44.7050427053734 464.493315068493 122.241671232877 1509.07454384 "0"
"15" 879 85 6156.632 35435.25 30829.15 562.193049 431 68496.0162 0 88.6 0.0711948873128767 0 55.0402500534986 97.0828767123288 84.4634246575342 3193.25651832 "0"
"16" 887 85 6250.211 105605.24 21032.51 364.533642 359 65205.536 28.8887802 0 0 0.0232136958345989 52.3961714186877 289.329424657534 57.6233150684931 2070.55108656 "0"
"17" 889 85 10712.7668 264745.81 66912.47 346.395933 264 106663.4152 98.196 0 0 0.0789057918123617 85.7098174443632 725.33098630137 183.321835616438 1967.52889944 "0"
"18" 983 85 9776.515 260099.81 66327.25 342.076996 392 95854.7184 13.7088 0 0 0.0110157615259003 77.0244455405816 712.602219178082 181.718493150685 1942.99733728 "0"
"19" 988 85 3493.243 64674.99 21149.5 328.853406 328 34939.3234 218.8994052 0 0 0.175897499842774 28.0756342240537 177.191753424658 57.9438356164384 1867.88734608 "0"
"20" 991 85 699.555 15188.83 2660.16 111.402061 96 8049.438 124.173 0 0 0.0997797149244 6.46815836729106 41.6132328767123 7.2881095890411 632.76370648 "0"
"21" 994 85 6713.205 83640.98 20704.12 353.857601 280 69308.6172 141.183 0 0 0.113448169023633 55.6932188641683 229.153369863014 56.7236164383562 2009.91117368 "0"
"22" 1004 85 241.56 7683.85 1582.18 65.376392 71 3112.6388 29.3454 0 0 0.0235806145163803 2.50117346062853 21.0516438356164 4.3347397260274 371.33790656 "0"
"23" 1008 85 2229.338 60911.75 10989.46 143.671209 161 23152.8836 93.2148 0 0 0.0749031284637962 18.6045929895051 166.881506849315 30.1081095890411 816.05246712 "0"
"24" 1012 85 2123.22011 60819.98 11519.71 99.939195 87 22282.5458 5.8086 15.9264 0.0127977229492077 0.00466752395536767 17.90522954035 166.630082191781 31.5608493150685 567.6546276 "0"
"25" 1047 85 1123.42208 5974.85 7938.22 94.298163 52 12388.8434 48.804 0 0 0.0392166510205151 9.95510507674804 16.3694520547945 21.7485479452055 535.61356584 "0"
"26" 1250 85 1386.226 4237.02 5781.75 114.421452 137 16526.873 0 456.0665 0.366474075334967 0 13.2802354499913 11.6082739726027 15.8404109589041 649.91384736 "0"
"27" 1355 85 3166.277 54106.96 11282.09 128.425614 132 34157.9128 55.80288 0 0 0.0448406292701352 27.4477285850911 148.238246575342 30.9098356164384 729.45748752 "0"
"28" 1356 85 6493.437 91540.15 23615.73 392.609657 228 69678.1176 274.94544 0 0 0.220933517133062 55.9901324007378 250.794931506849 64.7006301369863 2230.02285176 "0"
"29" 1357 85 1040.65 21074.46 5813.4 72.319847 103 12275.735 11.6256 0 0 0.00934179776461151 9.86421636577581 57.7382465753425 15.9271232876712 410.77673096 "0"
"30" 1364 85 6191.186 47789.36 25168.12 333.422298 472 63188.4592 184.044 169.8425 0.136477625828863 0.147889298426762 50.7753412214256 130.929753424658 68.9537534246575 1893.83865264 "0"
"31" 1570 85 407.195 3268.97 1464.38 58.724433 65 4487.009 34.9398 0 0 0.0280760171979058 3.6055541775041 8.95608219178082 4.012 333.55477944 "0"
"32" 1606 85 1037.372 9783.67 4189.01 37.967677 69 10565.1864 15.0232992 0 0 0.0120720326592735 8.48969813981419 26.8045753424658 11.4767397260274 215.65640536 "0"
"33" 1695 85 1189.344 8279.12 3946.3 150.550516 196 12447.6018 49.623 0 0 0.0398747617734411 10.0023206260334 22.6825205479452 10.8117808219178 855.12693088 "0"
"34" 1745 85 3593.934 21868.6 10870.04 357.94851 327 37054.944 287.9543772 0 0 0.231386901083562 29.7756496892207 59.9139726027397 29.7809315068493 2033.1475368 "0"
"35" 1943 85 361.3283 4248.18 1892.23 43.902006 38 4432.548 5.2542 0 0 0.00422203359954082 3.56179182131961 11.6388493150685 5.18419178082192 249.36339408 "0"
"36" 2080 85 2030.40136 88197.15 8450.04 104.06858 157 21855.468 58.230522 0 0 0.0467913707896161 17.5620494518079 241.63602739726 23.1507945205479 591.1095344 "0"
"37" 2103 85 12388.384 262230.63 41499.74 535.381815 504 124275.3772 342.363 0 0 0.27510716935777 99.8619805363346 718.440082191781 113.697917808219 3040.9687092 "0"
"38" 2107 85 2319.2 54941.09 19561.74 201.277222 275 24887.154 67.8972 0 0 0.0545590688810367 19.9981729635238 150.523534246575 53.5938082191781 1143.25462096 "0"
"39" 2526 85 863.1617 14917.55 3488.03 79.758704 79 9759.6504 33.1632 0 0 0.026648423103097 7.84240643838682 40.87 9.55624657534247 453.02943872 "0"
"40" 2527 85 1133.814055 19949.18 4683.75 78.959364 97 12545.6754 56.595 0 0 0.0454771404906575 10.0811280628322 54.6552876712329 12.8321917808219 448.48918752 "0"
"41" 2535 85 1732.8891 24201.67 5261.91 88.827217 85 16395.0864 16.2788976 0 0 0.013080973817267 13.1743377960821 66.3059452054794 14.4161917808219 504.53859256 "0"
"42" 2549 85 4073.624 48879.4 19146.5 354.425137 304 43183.7242 0 0 0 0 34.7004557355457 133.916164383562 52.4561643835616 2013.13477816 "0"
"43" 2554 85 3334.655 51011.77 10224 200.616344 210 34380.1888 0 0 0 0 27.6263393613028 139.758273972603 28.0109589041096 1139.50083392 "0"
"44" 2642 85 1428.566 24166.88 4282.78 89.554759 134 14818.546 46.368 0 0 0.0372591933964274 11.9075023996691 66.2106301369863 11.7336438356164 508.67103112 "0"
"45" 2706 85 2122.128 13881.12 8569.28 72.279744 105 20627.493 41.633676 0 0 0.0334549082532824 16.5753051882862 38.0304657534247 23.4774794520548 410.54894592 "0"
"46" 2718 85 2277.912 15043.52 6629.95 192.167313 152 21979.7806 164.6891988 0 0 0.132336669866975 17.6619413428753 41.2151232876712 18.1642465753425 1091.51033784 "0"
"47" 2721 85 2099.873 14467.47 6022.55 155.096542 146 20425.8304 87.1152114 0 0 0.0700017794453774 16.4132583927757 39.636904109589 16.5001369863014 880.94835856 "0"
"48" 2727 85 9168.595 58681.52 24879.96 294.46493 189 82757.7294 227.847942 0 0 0.183088132676759 66.5003072110897 160.771287671233 68.1642739726027 1672.5608024 "0"
"49" 2790 85 449.1829 5202.45 1239.17 34.329047 57 5913.0386 0 0 0 0 4.75144601358567 14.2532876712329 3.39498630136986 194.98898696 "0"
"50" 2850 85 14836.873 167495.23 69298.91 472.280485 537 144998.531 87.7428594 0 0 0.0705061285270044 116.514154346249 458.89104109589 189.86002739726 2682.5531548 "0"
"51" 2864 85 2621.1031 71086.94 13430.62 204.926497 289 29018.5448 20.8442052 0 0 0.0167494451505697 23.3179687022536 194.758739726027 36.7962191780822 1163.98250296 "0"
"52" 2872 85 7298.746 248057.51 42579.78 364.694394 382 69585.3534 262.1837232 0 0 0.210678788131992 55.9155913537213 679.609616438356 116.656931506849 2071.46415792 "0"
"53" 2876 85 7924.17 216344.82 49594.25 294.362526 338 77270.3294 22.848 0 0 0.0183596025431671 62.090884811082 592.725534246575 135.874657534247 1671.97914768 "0"
"54" 3098 85 1429.998 2982.3 7982.46 219.015122 228 16886.2124 158.8517448 0 0 0.127645960163542 13.5689840740327 8.17068493150685 21.8697534246575 1244.00589296 "0"
"55" 3130 85 1177.933 15729.83 4585.44 105.604887 106 13346.7328 149.7813576 0 0 0.120357413949229 10.7248209671679 43.0954246575342 12.5628493150685 599.83575816 "0"
"56" 3131 85 3931.272 62536.5 14755.17 184.088944 143 40196.8932 248.4640368 0 0 0.199654278795468 32.3003756399745 171.332876712329 40.4251232876712 1045.62520192 "0"
"57" 3138 85 1772.682 23643.82 9441.35 138.260545 173 20579.9134 50.537718 0 0 0.040609787111286 16.5370724088235 64.7775890410959 25.8667123287671 785.3198956 "0"
"58" 3140 85 8937.865 128946.69 27129.67 282.201379 211 90285.3812 524.7781686 0 0 0.421687613744185 72.5491821730713 353.278602739726 74.3278630136986 1602.90383272 "0"
"59" 3149 85 9753.995 104107.58 27595.02 284.974344 194 92796.914 538.273302 0 0 0.432531682611965 74.5673344832135 285.226246575342 75.6027945205479 1618.65427392 "0"
"60" 3178 85 2208.604 30969.02 9987.12 87.663557 84 22657.166 27.9216 0 0 0.0224365142843704 18.2062571128571 84.8466301369863 27.3619726027397 497.92900376 "0"
"61" 3297 85 3133.12 29882.19 13539.95 125.659089 89 31282.1286 279.3175056 0 0 0.224446708077944 25.1368805934979 81.8690136986301 37.0957534246575 713.74362552 "0"
"62" 3497 85 6330.736 40378.96 17498.61 173.176633 256 69707.0122 0 558.95 0.449146526676438 0 56.0133507730962 110.627287671233 47.941397260274 983.64327544 "0"
"63" 3644 85 488.829 2547.1 1834.02 55.825554 108 5748.6066 29.4 0 0 0.0236244885665753 4.61931601685169 6.97835616438356 5.02471232876712 317.08914672 "0"
"64" 3775 85 3610.499 18485.07 14467.68 163.309958 174 34083.2456 43.9113486 0 0 0.0352851412565852 27.3877294554075 50.6440273972603 39.6374794520548 927.60056144 "0"
"65" 3776 85 1317.808 9220.61 5781.24 132.185752 131 13130.418 207.064158 0 0 0.166387239225121 10.551000337257 25.2619452054795 15.8390136986301 750.81507136 "0"
"66" 3788 85 2392.297 15589.83 7489.55 176.454127 206 25718.8636 216.2248326 0 0 0.173748336243822 20.6664965667861 42.7118630136986 20.5193150684931 1002.25944136 "0"
"67" 3796 85 1058.48 7272.27 4870.25 86.831307 131 11037.6894 70.56 0 0 0.0566987725597808 8.86937983101054 19.9240273972603 13.3431506849315 493.20182376 "0"
"68" 3936 85 1378.3 8395.31 6435.47 133.056759 132 13447.1502 30.786756 0 0 0.0247388219429913 10.8055117739089 23.0008493150685 17.6314246575342 755.76239112 "0"
"69" 3945 85 397.881 3884.13 2225.82 77.636453 83 5087.1734 18.9504 0 0 0.0152276703446269 4.08781870151314 10.6414520547945 6.09813698630137 440.97505304 "0"
"70" 3946 85 903.63 9577.73 6144.31 82.349215 80 9830.7688 22.5036 0 0 0.0180828585342444 7.89955391551856 26.2403561643836 16.8337260273973 467.7435412 "0"
"71" 3947 85 4642.436 153631.94 31336.7 178.702887 247 45116.6932 18.0893958 0 0 0.0145358069473931 36.2537007709213 420.909424657534 85.8539726027397 1015.03239816 "0"
"72" 3948 85 8454.774 100404.92 37857.19 334.686021 259 82874.743 351.2443368 0 0 0.282243803360746 66.5943339612711 275.08197260274 103.718328767123 1901.01659928 "0"
"73" 4054 85 1074.393 25019.67 8933.15 50.712346 61 11026.6868 0.592368 0 0 0.000475999695347112 8.86053864740841 68.5470410958904 24.4743835616438 288.04612528 "0"
"74" 4072 85 1030.13 22416.85 5573.06 113.74215 160 11804.9656 93.8952 0 0 0.0754498666277655 9.48592771585086 61.4160273972603 15.2686575342466 646.055412 "0"
"75" 4158 85 4881.023 29044.78 27750.8 212.978401 308 55451.8964 108.5281512 0 0 0.0872082335774136 44.5585949828817 79.5747397260274 76.0295890410959 1209.71731768 "0"
"76" 4162 85 3996.256 18508.38 15854.62 177.09109 255 40603.094 55.8600462 127.49 0.102445103651452 0.0448865654006895 32.6267799309722 50.7078904109589 43.4373150684932 1005.8773912 "0"
"77" 6002 85 4792.413 21532.24 14551.23 361.714701 330 46941.4016 531.6613722 0 0 0.427218639756077 37.7199525645654 58.9924383561644 39.8663835616438 2054.53950168 "0"
