"Year" "Electricity_kWh" "S02_short_tons" "NOx_short_tons" "Capital_Stock_USD2017_millions" "Employees_People" "Heat_content_of_gas_Mwh_daily" "Heat_content_of_oil_Mwh_daily" "Heat_content_of_coal_Mwh_daily" "Clean_Air_Act_PhaseI"
"1" 85 401652.962205 5265559.56 1725673.14 110280.62394376 20115 2.63891130024715 8.64827941120495 3285.4897753112 0
"2" 86 399397.361977 5183086.9 1716990.27 112066.089694256 20135 3.11049393943095 7.46182648194009 3288.72201644535 0
"3" 87 396903.889308 5086437.49 1678232.11 113082.332108973 20146 3.80531947789613 7.50184998349355 3244.50224677028 0
"4" 88 407311.300744 5127185.57 1740761.95 113513.625021524 19893 3.21732098393448 7.49866905073079 3337.02869310952 0
"5" 89 421707.94434 5482032.47 1818793.38 115573.995092185 19777 3.86825286548619 7.41600876744733 3454.56667654146 0
"6" 90 419768.50822 5431389.43 1765768.64 116404.804469586 19432 5.12844013796365 6.99721083364607 3424.52176778843 92
"7" 91 407427.4751 5275711.46 1697041.5 119615.709398084 19247 5.52816479704665 7.76956516175142 3341.26572472367 92
"8" 92 416158.07862 5311037.28 1692437.42 120920.719087125 18670 5.36170207034857 6.43804683330178 3379.72428085218 92
"9" 93 422846.645492 5076758.79 1694428.01 122067.33967281 18513 5.45605482240112 7.19431377567401 3435.00060688429 92
"10" 94 414403.166714 4891872.64 1580497.32 124173.229917436 17876 5.72587364195773 8.05732594467815 3373.42004863258 92
"11" 95 431160.285525 3748557.25 1609449.73 125414.407703927 17040 5.65610626838425 6.76517711769004 3469.86160435864 92
